episode,steps,reward
988,684925,23.0
989,685865,25.0
990,686532,13.0
991,687586,21.0
992,688295,12.0
993,688976,12.0
994,689521,12.0
995,690284,23.0
996,691162,18.0
997,691715,10.0
998,692362,15.0
999,692756,10.0
1000,693708,19.0
1001,694342,11.0
1002,694857,7.0
1003,695557,13.0
1004,696217,12.0
1005,696739,9.0
1006,697634,16.0
1007,698741,26.0
1008,699633,21.0
1009,700124,6.0
1010,700961,17.0
1011,701482,9.0
1012,702646,21.0
1013,703360,12.0
1014,704204,20.0
1015,704864,10.0
1016,705511,12.0
1017,706150,9.0
1018,706796,11.0
1019,707446,10.0
1020,708397,21.0
1021,708798,7.0
1022,709423,14.0
1023,709936,9.0
1024,710931,21.0
1025,711728,20.0
1026,712221,6.0
1027,712576,5.0
1028,713272,12.0
1029,713653,8.0
1030,714616,22.0
1031,715327,16.0
1032,716266,18.0
1033,717042,13.0
1034,717499,7.0
1035,718000,8.0
1036,718797,13.0
1037,719416,9.0
1038,720404,14.0
1039,720947,13.0
1040,721653,10.0
1041,722320,12.0
1042,722980,14.0
1043,723664,10.0
1044,724342,14.0
1045,724719,10.0
1046,725274,10.0
1047,725883,9.0
1048,726404,9.0
1049,726895,9.0
1050,727915,21.0
1051,728900,25.0
1052,729598,15.0
1053,730095,8.0
1054,731101,21.0
1055,731801,15.0
1056,732513,15.0
1057,733173,15.0
1058,734007,16.0
1059,734882,19.0
1060,735639,19.0
1061,736192,11.0
1062,737192,11.0
1063,737866,7.0
1064,738594,11.0
1065,739221,10.0
1066,740214,19.0
1067,740828,9.0
1068,741725,17.0
1069,742223,6.0
1070,742567,5.0
1071,743211,10.0
1072,744047,15.0
1073,744575,7.0
1074,744986,7.0
1075,745735,13.0
1076,747127,34.0
1077,747657,7.0
1078,748138,7.0
1079,748858,10.0
1080,749372,11.0
1081,750125,14.0
1082,750631,8.0
1083,751959,19.0
1084,752785,19.0
1085,753225,5.0
1086,753860,16.0
1087,754690,13.0
1088,755733,20.0
1089,756647,22.0
1090,757146,7.0
1091,757840,15.0
1092,758504,11.0
1093,759176,9.0
1094,760087,19.0
1095,761113,23.0
1096,761758,21.0
1097,762272,9.0
1098,763008,16.0
1099,763516,8.0
1100,764166,11.0
1101,764667,9.0
1102,765235,9.0
1103,765769,10.0
1104,766469,8.0
1105,767464,18.0
1106,768175,12.0
1107,768655,9.0
1108,769213,9.0
1109,770029,19.0
1110,770527,8.0
1111,771586,19.0
1112,772532,13.0
1113,773324,16.0
1114,774254,15.0
1115,775157,18.0
1116,775872,7.0
1117,776489,8.0
1118,777134,9.0
1119,777863,17.0
1120,778499,10.0
1121,779245,18.0
1122,779887,17.0
1123,780639,14.0
1124,781220,8.0
1125,781591,6.0
1126,782733,27.0
1127,783711,22.0
1128,784243,11.0
1129,785190,17.0
1130,785881,11.0
1131,786351,5.0
1132,787235,19.0
1133,787712,7.0
1134,788488,15.0
1135,789063,8.0
1136,789949,16.0
1137,790867,18.0
1138,791544,13.0
1139,792413,14.0
1140,793201,12.0
1141,793931,11.0
1142,795021,22.0
1143,795352,5.0
1144,796424,20.0
1145,797631,20.0
1146,798805,18.0
1147,799651,20.0
1148,800201,10.0
1149,800719,9.0
1150,801427,16.0
1151,802073,14.0
1152,803017,12.0
1153,804147,17.0
1154,805050,19.0
1155,805654,6.0
1156,806379,11.0
1157,807493,22.0
1158,807901,6.0
1159,808267,5.0
1160,808997,9.0
1161,809670,10.0
1162,810303,8.0
1163,810868,7.0
1164,811815,17.0
1165,812406,8.0
1166,812919,10.0
1167,813790,19.0
1168,814325,7.0
1169,814864,6.0
1170,815860,23.0
1171,816321,7.0
1172,816855,5.0
1173,817703,19.0
1174,818370,12.0
1175,819612,24.0
1176,820298,15.0
1177,820930,11.0
1178,821970,18.0
1179,822986,22.0
1180,823989,24.0
1181,824858,19.0
1182,825718,15.0
1183,826403,10.0
1184,827390,20.0
1185,827888,3.0
1186,828402,10.0
1187,829079,11.0
1188,830027,25.0
1189,830593,7.0
1190,831499,14.0
1191,832514,25.0
1192,833519,20.0
1193,834728,25.0
1194,835413,10.0
1195,835972,10.0
1196,836452,9.0
1197,836952,6.0
1198,837885,13.0
1199,838676,10.0
1200,839471,14.0
1201,840358,13.0
1202,840712,5.0
1203,841148,6.0
1204,841782,9.0
1205,842423,11.0
1206,843465,17.0
1207,844126,12.0
1208,845177,18.0
1209,846165,16.0
1210,846808,11.0
1211,847640,15.0
1212,848307,12.0
1213,848744,6.0
1214,849380,9.0
1215,850001,9.0
1216,850976,16.0
1217,852139,21.0
1218,852623,4.0
1219,853331,16.0
1220,854094,12.0
1221,854710,11.0
1222,855637,15.0
1223,856198,9.0
1224,857100,16.0
1225,857904,16.0
1226,858327,6.0
1227,858813,7.0
1228,859571,11.0
1229,859955,6.0
1230,860694,10.0
1231,861831,15.0
1232,862496,11.0
1233,863632,16.0
1234,864595,21.0
1235,865422,12.0
1236,866222,12.0
1237,866971,5.0
1238,867649,14.0
1239,868622,21.0
1240,869501,12.0
1241,870150,13.0
1242,871097,26.0
1243,872169,16.0
1244,872820,5.0
1245,873880,18.0
1246,874505,14.0
1247,875294,11.0
1248,875813,8.0
1249,876411,12.0
1250,877418,23.0
1251,878444,18.0
1252,879422,21.0
1253,880037,10.0
1254,880999,22.0
1255,881986,24.0
1256,882550,10.0
1257,883505,20.0
1258,884252,14.0
1259,885319,16.0
1260,885871,9.0
1261,886608,15.0
1262,887736,17.0
1263,888697,19.0
1264,889788,25.0
1265,890971,15.0
1266,891757,12.0
1267,893052,20.0
1268,893832,10.0
1269,894484,9.0
1270,895145,11.0
1271,895837,8.0
1272,896828,18.0
1273,897763,16.0
1274,898786,20.0
1275,899696,23.0
1276,900084,5.0
1277,901021,25.0
1278,901960,19.0
1279,903125,22.0
1280,903832,12.0
1281,904456,5.0
1282,905409,16.0
1283,905918,9.0
1284,906712,13.0
1285,907373,12.0
1286,907889,10.0
1287,908825,17.0
1288,909350,10.0
1289,910287,19.0
1290,910776,13.0
1291,911785,21.0
1292,912650,15.0
1293,913334,10.0
1294,913952,12.0
1295,915137,18.0
1296,915792,15.0
1297,916429,13.0
1298,917229,15.0
1299,918094,17.0
1300,918667,13.0
1301,919318,15.0
1302,920017,11.0
1303,921036,20.0
1304,922036,16.0
1305,922421,7.0
1306,923157,18.0
1307,924176,18.0
1308,925156,14.0
1309,926128,16.0
1310,927035,21.0
1311,927677,15.0
1312,928578,16.0
1313,929584,18.0
1314,930622,20.0
1315,931596,21.0
1316,932477,12.0
1317,933177,14.0
1318,933872,10.0
1319,934958,20.0
1320,935928,17.0
1321,936887,24.0
1322,937719,14.0
1323,938380,10.0
1324,938855,11.0
1325,939658,13.0
1326,940503,19.0
1327,941340,20.0
1328,942149,15.0
1329,942639,8.0
1330,943271,7.0
1331,943872,10.0
1332,944360,10.0
1333,945027,11.0
1334,945981,23.0
1335,946897,19.0
1336,947723,18.0
1337,948336,11.0
1338,948728,7.0
1339,949746,27.0
1340,950682,20.0
1341,951079,5.0
1342,951571,8.0
1343,952275,11.0
1344,953248,20.0
1345,954135,19.0
1346,954819,12.0
1347,955715,25.0
1348,956657,20.0
1349,957325,11.0
1350,958013,16.0
1351,958387,2.0
1352,959287,18.0
1353,960440,25.0
1354,961694,25.0
1355,962330,9.0
1356,962995,11.0
1357,963685,14.0
1358,964623,20.0
1359,965411,12.0
1360,966203,12.0
1361,967170,24.0
1362,967852,12.0
1363,968675,13.0
1364,969191,7.0
1365,970232,19.0
1366,970754,8.0
1367,971700,14.0
1368,972483,16.0
1369,973149,11.0
1370,973721,9.0
1371,974583,21.0
1372,975635,18.0
1373,976724,16.0
1374,977115,3.0
1375,978188,14.0
1376,979145,18.0
1377,979562,4.0
1378,980675,30.0
1379,981295,10.0
1380,981944,15.0
1381,982861,15.0
1382,983933,18.0
1383,984932,16.0
1384,985687,16.0
1385,986523,18.0
1386,987078,9.0
1387,988159,21.0
1388,988563,6.0
